epochs,loss,acc
1,0.022384106800705194,0.8239625
2,0.0036980348928831517,0.9254375
3,0.0030897178252693265,0.937725
4,0.002796850435901433,0.9431125
5,0.0025138145748060197,0.947
6,0.0023848651601700113,0.9488625
7,0.002246652785828337,0.9516375
8,0.002113256793259643,0.955775
9,0.0020112331953598185,0.9595375
10,0.0019189494518795983,0.9617125
11,0.0018812568253837527,0.962425
12,0.0018957204270060174,0.961875
13,0.0018417222327785567,0.9631375
14,0.0018541702469345182,0.9633375
15,0.001846231841109693,0.9631125
